base,date,currency,rate
USD,2009-01-09,EEK,11.4342297574
USD,2009-01-09,EUR,0.7307804735
USD,2009-01-09,GBP,0.6539023677
USD,2009-01-09,HKD,7.7572347267
USD,2009-01-09,HRK,5.3501900029
USD,2009-01-09,HUF,201.7904121602
USD,2009-01-09,IDR,10988.0005846244
USD,2009-01-09,ILS,-
USD,2009-01-09,INR,48.1847413037
USD,2009-01-09,ISK,-
USD,2009-01-09,JPY,90.9090909091
USD,2009-01-09,KRW,1347.5007307805
USD,2009-01-09,LTL,2.5232388191
USD,2009-01-09,LVL,0.5163694826
USD,2009-01-09,MXN,13.7149956153
USD,2009-01-09,MYR,3.5404852382
USD,2009-01-09,NOK,6.9405875475
USD,2009-01-09,NZD,1.6924875767
USD,2009-01-09,PHP,47.1499561532
USD,2009-01-09,PLN,2.9556416253
USD,2009-01-09,RON,3.0928821982
USD,2009-01-09,RUB,30.3721864952
USD,2009-01-09,SEK,7.8350628471
USD,2009-01-09,SGD,1.479976615
USD,2009-01-09,SKK,-
USD,2009-01-09,THB,34.8399590763
USD,2009-01-09,TRY,1.5501315405
USD,2009-01-09,USD,1.0
USD,2009-01-09,ZAR,9.669760304
USD,2009-01-12,AUD,1.4542332388
USD,2009-01-12,BGN,1.4602060624
USD,2009-01-12,BRL,2.2887860236
USD,2009-01-12,CAD,1.1961325967
USD,2009-01-12,CHF,1.1202777363
USD,2009-01-12,CNY,6.8370165746
USD,2009-01-12,CZK,19.8372405555
USD,2009-01-12,DKK,5.5642078543
USD,2009-01-12,EEK,11.6817978199
USD,2009-01-12,EUR,0.7466029565
USD,2009-01-12,GBP,0.6686576079
USD,2009-01-12,HKD,7.7547409288
USD,2009-01-12,HRK,5.4810362849
USD,2009-01-12,HUF,208.6008660594
USD,2009-01-12,IDR,11175.0037330148
USD,2009-01-12,ILS,-
USD,2009-01-12,INR,48.8450052262
USD,2009-01-12,ISK,-
USD,2009-01-12,JPY,89.9507242049
USD,2009-01-12,KRW,1366.9777512319
USD,2009-01-12,LTL,2.5778706884
USD,2009-01-12,LVL,0.5269523667
USD,2009-01-12,MXN,13.7200238913
USD,2009-01-12,MYR,3.5715245632
USD,2009-01-12,NOK,7.02777363
USD,2009-01-12,NZD,1.7248768105
USD,2009-01-12,PHP,47.5511423025
USD,2009-01-12,PLN,3.0185157533
USD,2009-01-12,RON,3.1932208452
USD,2009-01-12,RUB,31.0590562939
USD,2009-01-12,SEK,8.0338211139
USD,2009-01-12,SGD,1.4855905629
USD,2009-01-12,SKK,-
USD,2009-01-12,THB,34.9552038226
USD,2009-01-12,TRY,1.5763774825
USD,2009-01-12,USD,1.0
USD,2009-01-12,ZAR,10.0221741078
USD,2009-01-13,AUD,1.4985673352
USD,2009-01-13,BGN,1.4747398582
USD,2009-01-13,BRL,2.3212939225
USD,2009-01-13,CAD,1.2305836224
USD,2009-01-13,CHF,1.1203438395
USD,2009-01-13,CNY,6.8341125019
USD,2009-01-13,CZK,20.1817222138
USD,2009-01-13,DKK,5.6190619816
USD,2009-01-13,EEK,11.7980696727
USD,2009-01-13,EUR,0.7540340823
USD,2009-01-13,GBP,0.6870758558
USD,2009-01-13,HKD,7.7553913437
